GameId	Sources	Show Name	PlayerID (this should reflect turn order)	Commander	Partner Commander	Link to Deck	AVG CMC of Deck	Total Cost of Deck in paper 	Land Count in deck)	Deck Type	Sol Ring / Mana Crypt by Turn 3	1 accelerant or Both?	Mana producing Lands at end of the Game	Cards Remaining in Deck	Eliminated by Which Player	Player Eliminated How	Player Won?	Color Identity of Commander
1001	Commander Clash 12/17/15	Commander Clash	1	Sen Triplets	N/A	https://tappedout.net/mtg-decks/cc-121715-sen-trips-ash/	3.95	268	38	Control	No Early ManaC/Sol Ring	0	9	72	2	Infect	No	WUB
1001	Commander Clash 12/17/15	Commander Clash	2	Edric Spymaster of Trest	N/A	https://tappedout.net/mtg-decks/cc-121715-edric-ash/	2.14	123	34	Mid-Range	Early ManaC/Sol Ring	1	12	20	0		Yes	UG
1001	Commander Clash 12/17/15	Commander Clash	3	Glissa the Traitor	N/A	https://tappedout.net/mtg-decks/cc-121715-glissa-ash/	3.09	161	36	Aggro	No Early ManaC/Sol Ring	0	9	69	2	Combat Damage	No	BG
1001	Commander Clash 12/17/15	Commander Clash	4	Omnath Locus of Rage	N/A	https://tappedout.net/mtg-decks/cc-121715-omnath-ash/	3.93	91	40	Mid-Range	No Early ManaC/Sol Ring	0	12	72	2	Infect	No	RG
1002	Commander VS 07/16/14	Commander VS.	2	Marchesa the Black Rose	N/A	https://tappedout.net/mtg-decks/cv-071614-marchesa-ash/?cb=1536188859	3.91	777	36	Aggro	Early ManaC/Sol Ring	1	12	0	0		Yes	UBR
1002	Commander VS 07/16/14	Commander VS.	1	Selvala Explorer Returned	N/A	https://tappedout.net/mtg-decks/cv-071614-selvala-ash/	3.24	551	34	Mid-Range	Early ManaC/Sol Ring	1	10	0	2	Combat Damage	No	WG
1002	Commander VS 07/16/14	Commander VS.	3	Grenzo Dungeon Warden	N/A	https://tappedout.net/mtg-decks/cv-071614-grenzo-ash/	4.35	483	35	Aggro	Early ManaC/Sol Ring	1	8	0	2	Combat Damage	No	BR
1002	Commander VS 07/16/14	Commander VS.	4	Muzzio Visionary Architect	N/A	https://tappedout.net/mtg-decks/cv-071614-muzzio-ash/	3.91	1060	35	Combo	No Early ManaC/Sol Ring	0	9	0	2	Combat Damage	No	U
1003	Commander VS 10/22/14	Commander VS.	1	Narset Enlightened Master	N/A	https://tappedout.net/mtg-decks/cv-102214-narset-ash/?cb=1536189139	3.92	1214	37	Control	No Early ManaC/Sol Ring	0	2	0	0		Yes	WUR
1003	Commander VS 10/22/14	Commander VS.	4	Sidisi Brood Tyrant	N/A	https://tappedout.net/mtg-decks/cv-102214-sidisi-ash/?cb=1536189149	3.45	873	34	Mid-Range	No Early ManaC/Sol Ring	0	6	0	2	Combat Damage	No	UBG
1003	Commander VS 10/22/14	Commander VS.	2	Surrak Dragonclaw	N/A	https://tappedout.net/mtg-decks/cv-102214-surrak-ash/?cb=1536189118	3.65	1432	32	Mid-Range	No Early ManaC/Sol Ring	0	2	0	1	Combat Damage	No	URG
1003	Commander VS 10/22/14	Commander VS.	3	Anafenza the Foremost	N/A	https://tappedout.net/mtg-decks/cv-102214-anafenza-ash/?cb=1536189094	4.25	1572	37	Control	Early ManaC/Sol Ring	1	5	0	2	Combat Damage	No	WBG
1004	Commander VS 08/08/18	Commander VS.	2	Lord Windgrace	N/A	https://tappedout.net/mtg-decks/cv-080818-windgrace-ash/?cb=1536190090	3.86	76	43	Mid-Range	No Early ManaC/Sol Ring	0	15	0	0		Yes	BRG
1004	Commander VS 08/08/18	Commander VS.	4	Estrid the Masked	N/A	https://tappedout.net/mtg-decks/cv-080818-estrid-ash/?cb=1536190132	3.9	72	39	Mid-Range	Early ManaC/Sol Ring	1	11	0	3	Combat Damage	No	WUG
1004	Commander VS 08/08/18	Commander VS.	3	Saheeli the Gifted	N/A	https://tappedout.net/mtg-decks/cvs-080818-saheeli-ash/?cb=1536190168	4.16	82	38	Aggro	No Early ManaC/Sol Ring	0	19	0	3	Combat Damage	No	UR
1004	Commander VS 08/08/18	Commander VS.	1	Aminatou the Fateshifter	N/A	https://tappedout.net/mtg-decks/cv-080818-aminatou-ash/?cb=1536190193	3.93	79	40	Control	No Early ManaC/Sol Ring	0	8	0	2	Combat Damage	No	WUB
1005	MTG Muddstah 08/30/18	MTG Muddstah	4	Zedruu the Greathearted	N/A	http://tappedout.net/mtg-decks/mmudd-083018-zedruu-ash/?cb=1536191587	3.22	673	37	Control	No Early ManaC/Sol Ring	0	10	0	0		Yes	WUR
1005	MTG Muddstah 08/30/18	MTG Muddstah	2	Krenko Mob Boss	N/A	http://tappedout.net/mtg-decks/krenko-not-so-budget-anymore-edh/	2.83	336	35	Aggro	No Early ManaC/Sol Ring	0	5	0	4	Non-Combat non-combo	No	R
1005	MTG Muddstah 08/30/18	MTG Muddstah	1	Braids Conjurer Adept	N/A	http://tappedout.net/mtg-decks/27-02-18-FpI-braids-commander-adept-copy/?cb=1532281204	4.54	410	37	Mid-Range	No Early ManaC/Sol Ring	0		0	3	Combat Damage	No	U
1005	MTG Muddstah 08/30/18	MTG Muddstah	3	Sen Triplets	N/A	http://tappedout.net/mtg-decks/three-sen-boiz/	4.18	516	38	Control	No Early ManaC/Sol Ring	0	7	0	4	Combat Damage	No	WUB
1006	Game Knights 08/08/18	Game Knights	3	Saheeli the Gifted	N/A	https://tappedout.net/mtg-decks/gk-precon-saheeli-ash/?cb=1536256430	4.16	82	38	Aggro	Early ManaC/Sol Ring	1	9	0	2	Combat Damage	No	UR
1006	Game Knights 08/08/18	Game Knights	2	Estrid the Masked	N/A	https://tappedout.net/mtg-decks/gk-precon-estrid-ash/?cb=1536256783	3.9	70	39	Mid-Range	No Early ManaC/Sol Ring	0	10	0	4	Combat Damage	No	WUG
1006	Game Knights 08/08/18	Game Knights	1	Lord Windgrace	N/A	https://tappedout.net/mtg-decks/gk-precon-windgrace-ash/?cb=1536256541	3.86	76	43	Mid-Range	No Early ManaC/Sol Ring	0	14	0	0		Yes	BRG
1006	Game Knights 08/08/18	Game Knights	4	Aminatou the Fateshifter	N/A	https://tappedout.net/mtg-decks/gk-precon-aminatou-ash/?cb=1536256234	3.93	79	40	Control	No Early ManaC/Sol Ring	0	14	0	1	Combat Damage	No	WUB
1007	Game Knights 05/23/18	Game Knights	1	Athreos God of Passage	N/A	https://tappedout.net/mtg-decks/jlks-shadowborn-apostle-l-game-knights-18/	2.6	398	35	Combo	No Early ManaC/Sol Ring	0	9	0	0		Yes	WB
1007	Game Knights 05/23/18	Game Knights	4	Neheb the Worthy	N/A	https://tappedout.net/mtg-decks/jimmys-neheb-the-worthy-l-game-knights-6-18/	3.59	795	36	Aggro	No Early ManaC/Sol Ring	0	3	0	1	Non-Combat non-combo	No	BR
1007	Game Knights 05/23/18	Game Knights	3	Sygg River Guide	N/A	http://tappedout.net/mtg-decks/professors-sygg-river-guide-l-game-knights-18/?cb=1527027655	3.03	713	37	Control	No Early ManaC/Sol Ring	0	8	0	1	Non-Combat non-combo	No	WU
1007	Game Knights 05/23/18	Game Knights	2	Ruhan of the Fomori	N/A	http://tappedout.net/mtg-decks/rrrooojjjjaaaaammmmmmmm/	3.16	727	37	Aggro	Early ManaC/Sol Ring	1	4	0	1	Non-Combat non-combo	No	WUR
1008	Game Knights 03/14/18	Game Knights	3	Animar Soul of Elements	N/A	https://tappedout.net/mtg-decks/jimmys-animar-morph-l-game-knights-16/	3.43	436	35	Mid-Range	No Early ManaC/Sol Ring	0	15	0	0		Yes	URG
1008	Game Knights 03/14/18	Game Knights	4	Grenzo Dungeon Warden	N/A	https://tappedout.net/mtg-decks/jlks-grenzo-l-game-knights-16/	3.44	380	36	Combo	No Early ManaC/Sol Ring	0	11	0	3	Non-Combat non-combo	No	BR
1008	Game Knights 03/14/18	Game Knights	1	Numot the Devastator	N/A	https://tappedout.net/mtg-card/numot-the-devastator/	3.56	697	36	Control	Early ManaC/Sol Ring	1	13	0	2	Combat Damage	No	WUR
1008	Game Knights 03/14/18	Game Knights	2	Rashmi Eternities Crafter	N/A	https://tappedout.net/mtg-decks/gabys-rashmi-l-game-knights-16/	3.68	684	38	Combo	No Early ManaC/Sol Ring	0	13	0	3	Non-Combat non-combo	No	UG
1009	Game Knights 02/16/18	Game Knights	1	Nicol Bolas	N/A	http://tappedout.net/mtg-decks/jlks-nicol-bolas-l-game-knights-15/	2.89	545	39	Control	No Early ManaC/Sol Ring	0	12	0	0		Yes	UBR
